province,count
Beijing,2102.6465
Beijing,2026.7532
Beijing,1872.9647
Beijing,1942.6368
Beijing,1662.2
Beijing,1034.6785
Beijing,1028.2178
Beijing,1091.3903
Beijing,951.3017
Beijing,877.8951
Tianjin,1292.8878
Tianjin,1262.4704
Tianjin,1082.4134
Tianjin,910.7189
Tianjin,700.5
Tianjin,576.851
Tianjin,510.1959
Tianjin,373.5963
Tianjin,334.0949
Tianjin,272.9521
Hebei,3648.8022
Hebei,3231.344
Hebei,3073.5817
Hebei,3141.4993
Hebei,2614.8
Hebei,1800.5682
Hebei,1359.6826
Hebei,998.9836
Hebei,781.1656
Hebei,607.581
Shanxi,2004.5373
Shanxi,1688.956
Shanxi,1467.0489
Shanxi,1187.7169
Shanxi,900.3
Shanxi,760.082
Shanxi,564.2597
Shanxi,461.9967
Shanxi,350.3467
Shanxi,211.6535
Inner Mongolia,1250.5041
Inner Mongolia,1289.7793
Inner Mongolia,1148.623
Inner Mongolia,1312.8229
Inner Mongolia,961.8
Inner Mongolia,732.0396
Inner Mongolia,744.4724
Inner Mongolia,523.8489
Inner Mongolia,374.1324
Inner Mongolia,198.2475
Liaoning,4077.1956
Liaoning,4875.2237
Liaoning,4201.1179
Liaoning,3691.5986
Liaoning,2724.1
Liaoning,2128.3895
Liaoning,1765.1775
Liaoning,1380.5296
Liaoning,1041.8612
Liaoning,753.5723
Jilin,841.4182
Jilin,1053.5255
Jilin,1109.718
Jilin,1059.3185
Jilin,872
Jilin,786.7925
Jilin,633.3653
Jilin,521.7448
Jilin,349.1962
Jilin,211.271
Heilongjiang,1118.6717
Heilongjiang,1419.8476
Heilongjiang,1480.705
Heilongjiang,1378.1588
Heilongjiang,1066.2
Heilongjiang,810.2464
Heilongjiang,565.4112
Heilongjiang,468.1402
Heilongjiang,379.8219
Heilongjiang,262.4471
Shanghai,1730.8079
Shanghai,1626.9469
Shanghai,1457.6399
Shanghai,1469.2274
Shanghai,1233
Shanghai,922.8077
Shanghai,903.3463
Shanghai,853.1341
Shanghai,854.1516
Shanghai,940.8054
Jiangsu,6632.9509
Jiangsu,5990.3299
Jiangsu,5051.226
Jiangsu,4687.5843
Jiangsu,3665.2
Jiangsu,2856.2859
Jiangsu,2756.2381
Jiangsu,2168.2388
Jiangsu,1697.624
Jiangsu,1386.5328
Zhejiang,5782.4379
Zhejiang,5039.9379
Zhejiang,4318.4956
Zhejiang,3510.5809
Zhejiang,2785.5
Zhejiang,2154.2538
Zhejiang,1883.6288
Zhejiang,1685.0722
Zhejiang,1458.6295
Zhejiang,1377.2509
Anhui,3636.2898
Anhui,3284.3892
Anhui,2738.0055
Anhui,2478.5707
Anhui,2248.7
Anhui,1746.7245
Anhui,1429.8768
Anhui,988.9958
Anhui,748.0653
